id,movie_name,synopsis,genre
17473,Savage Land,Two women and some children travel across the mid-west. The elements are rough but then things get worse when they are pursued by two outlaws.,adventure
67910,Mâmeido ~ umi kara kita shôjo ~,A man who lives at the beach in despair after losing his wife finds a naked young woman washed up on the waves one day.,romance
63339,Supplementary,A man is driven to the point of committing suicide after his girlfriend dies after she is bitten by a snake. It takes a couple of more hard-hitting lessons before he learns the true value of life.,romance
84994,Bad Blood,The lives of married Atlanta couple Veronica and Harry are turned upside down when Veronica's estranged sister shows up unannounced on her birthday.,thriller
32565,Bear with Me,The family of eleven-year-old Emily (Kaitlyn Burke) searches desperately for her after she becomes lost in the Great Bear Rain Forest.,family
26934,A Crime,"Vincent's life is on hold until he finds his wife's killer. Alice, his neighbor, is convinced she can make him happy. She decides to invent a culprit, so that Vincent can find revenge and leave the past behind. But there is no ideal culprit and no perfect crime.",crime
15871,The Boy Who Stole the World,A sci-fi fantasy adventure of a young boy whose life changes forever when a mysterious visitor lands from nowhere into his backyard to warn him of an impending invasion.,adventure
74235,City of Shadows,"In the same vein as Cain and Abel, here we have two brothers, one a renegade cop and the other a murderer with a taste for little boys. The brothers come to blows, from which only one can walk away.",scifi
31774,Two by Two: Overboard!,"Adrift on a flood, two misfit castaways struggle to reunite an unorthodox family, out-run a volcano, and negotiate a peace deal on a creaking Ark.",family
7781,Biggles and the Night Witches,"James ""Biggles"" Bigglesworth ones again travels time to save the day.",action
65385,Çok Uzak Fazla Yakin,Two art school students from different social groups fall in love. Guy is an idealist painter and woman is a photographer but they can't make this relationship work.,romance
49684,Dracula's Angel,Laura Randolph is on a quest to find her true love: Dracula.,horror
82441,Flood,"When a raging storm coincides with high seas it unleashes a colossal tidal surge, which travels mercilessly down England's East Coast and into the Thames Estuary. It is not a question of if, but when London floods.",thriller
43572,Killer Popcorn,Orville is a movie geek the people of Henderson push too far. He snaps and goes on a strip mall killing spree like no suburb has ever seen.,fantasy
11584,Grizzly,"An eighteen-foot-tall grizzly bear terrorizes a state park, leaving it up to a Park Ranger to save the day.",adventure
72033,Her Broken Shadow,"A writer struggles to overcome a heinous crime she committed in her childhood. When a characters materializes, she questions reality and starts to dig up skeletons of her past to avoid a complete descent into insanity.",scifi
12222,The Stream,"A long time ago... in the summer of 1981, a tragedy of epic proportions (a broken plastic bat) sends five friends on an epic adventure to the mall. All they have to do is follow The Stream and back.",adventure
16896,War Eagles,"It's a ""parallel"" history interweaving Nazis, events happening at the time, and amazing inventions, with fictional, interesting characters.",adventure
57290,Manalive,"In a house of disenchanted, disconnected renters, a new tenant stirs life in all of them... but is he who he seems?",mystery
51049,Sirf 5 Din,"A supernatural horror film in which a woman attempts to help a man named Shanti an abuse victim, who he found chained up in a Lonavala bungalow .",horror
2455,Bravery,A abandonment story of kibbutz Saar-Hagolan in the Israeli Independence war.,action
72959,Minority Report,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",scifi
43353,We Are the Flesh,"After wandering a ruined city for years in search of food and shelter, two siblings find their way into one of the last remaining buildings. Inside, they find a man who will make them a dangerous offer to survive the outside world.",fantasy
31377,Little Shepherds,Depicts the lives of children of the coastal hills and pastures who work as shepherds from an early age to earn a living.,family
87974,A Broken Ladder,Two detectives become heavily involved with a missing persons case when they believe the victim is linked to a prolific serial killer.,thriller
88504,Blacklight,"Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",thriller
59168,The Haunted Swing,"A town haunted by the Hill children - victims of a tragic house fire which claimed their lives a quarter of a century ago. Years later, the children still haunt their swing, located on the plot of land where their house once stood.",mystery
61412,No No Girl,"Eighty years ago, on the eve of war and incarceration, a Japanese American family buries a secret in their backyard garden. Three generations later, a clue is discovered- unearthing the trauma and truth of their historic past.",mystery
25778,The Pay Day,A broke and frustrated IT technician decides to embark on a one woman heist to steal valuable data worth millions on the black market.,crime
3116,Marshal,"Marshal is a medical crime thriller movie directed by Jai Raaja Singh and produced by Abhay Adaka. The movie cast includes Srikanth, Abhay, Megha Chowdhury and Rashmi are in the lead roles. Yaadagiri Varikuppala scored music.",action
73718,Panic in the City,An American agent is assigned to track down a renegade Soviet spy who is building an atomic device in Los Angeles and plans to destroy the city with it.,scifi
38855,The Blue Umbrella,"In a small village when a little girl's prescious umbrella is stolen, things goes wrong for a greedy tea seller who was very much interested in buying that umbrella from her.",fantasy
14509,Journey of a Master,"The journey of a spiritual master from boyhood through to his rebellion against British Imperialism, resulting in his imprisonment followed by his career as a journalist, finally reaching self-actualization in the Himalayas",adventure
36103,The Invisibles,"A couple facing the end of marriage, when the husband starts to disappear. As he fades from existence he discovers a new world of people who have disappeared just like him.",fantasy
64335,Amor es amor,"Enrique Juarez is an up-and-coming Mexican Telenovela actor on the verge of becoming a leading man, that has to hide his true self in order to achieve stardom.",romance
21226,Coup de feu à l'aube,A crime was committed by the Trembleur band who specialized in jewelry theft. The Berlin police are on the trail of the mysterious leader. A policeman acts as a member of a rival band. The bandits are trapped in a suburban villa.,crime
43931,Encounter of the Spooky Kind,"A rickshaw driver's wife and his rich client are secret lovers, and they decide to get rid of him without being implicated, so they hire a powerful sorcerer to kill him, but the sorcerer's colleague intervenes to protect him.",fantasy
72320,Kingsglaive: Final Fantasy XV,"King Regis, who oversees the land of Lucis, commands his army of soldiers to protect the kingdom from the Niflheim empire's plans to steal the sacred crystal which gives Lucis its magic and power.",scifi
617,The Hideout,"Five thieves take refuge in cabin as distrust and greed stirs among the group, an infection erupts in the world outside and chaos ensues.",action
44926,The Guardian,"In a world teetering on the brink of self destruction, a mentally ill woman must discover her true purpose, and embrace her destiny. You can't run forever.",fantasy
83822,Don't Turn Out the Light,"A gang of escaped convicts take over a farmhouse and hold the woman living there hostage. It turns out that her husband is a cop, who among other things is in trouble because he has accidentally killed an innocent girl.",thriller
49791,The Seed,"What starts out as girls weekend away in the Mojave desert becomes a tale of horror, death and alien invasion.",horror
75390,Laws of the Universe Part 1,"University students, Ray, Anna, Tyler, Halle, and Eisuke are enjoying student life while chasing their dreams. However, they have a secret mission, to fight against invading Reptilians from outer space.",scifi
82396,Kafka,"Kafka works during the day at an insurance company, where events lead him to discover a mysterious underground society with strange suppressive goals.",thriller
72784,The Rover,"10 years after a global economic collapse, a hardened loner pursues the men who stole his only possession, his car. Along the way, he captures one of the thieves' brother, and the duo form an uneasy bond during the dangerous journey.",scifi
60584,The Man from Headquarters,"A brilliant detective is trying to break up a notorious crime ring, using part of an intercepted message. While investigating, he meets a beautiful and mysterious countess.",mystery
3898,Pros and Ex-Cons,"After completing their job, two ex-cons, are quickly informed that they have assassinated the wrong individual. With the stakes high they must quickly correct their mistake before covers are blown and innocent lives are lost.",action
8215,Bareuge salja,"Things get out of control when Doman, an eager and saintly traffic cop, is asked the play the role of the bank robber in a robbery intervention police training program.",action
64869,Women of the Prehistoric Planet,"A spaceship crashes upon an unexplored planet, and the rescuers sent to search for survivors discover that decades have passed due to time dilation.",romance
54919,The Closed Door,Two writers contradict with each other's story about a closed door which is there in the host writer's flat. Things take a turn when the guest writer breaks the lock to see what is hidden inside,mystery
73229,Whitefire,"Ace Redfire seeks vengeance for his own betrayal. Armed with paid mercenaries and a mysterious Masked Huntress, Ace sets out on a quest for blood and will stop at nothing to reach his goal.",scifi
12943,Deck of Cards,"The king of hearts has disappeared from the Kingdom of Cards, and the Joker and his friends set out on a quest to locate him, but there are other forces at play in the Kingdom, and someone might have an ace up their sleeve.",adventure
6865,Memories of the Sword,"While in medieval Korea, a young girl sets out to revenge the betrayal and the death of her mother. But therefore she must face one of the most powerful men and warriors of the Goryo Dynasty.",action
43442,Night of the Kings,"A young man is sent to ""La Maca"", a prison of Ivory Coast in the middle of the forest ruled by its prisoners. With the red moon rising, he is designated by the Boss to be the new ""Roman"" and must tell a story to the other prisoners.",fantasy
75086,Kung Fu Traveler 2,Southern Style Kung Fu was unsuccessful in defeating the invading enemy aliens. General Chen (Tiger Chen) has no choice but to be go back in time again to the late Qing Dynasty to find the master of Northern Style Kung Fu.,scifi
80579,The Chittering,"A crack U.S. military squad is stalked through the forests of Eastern Europe by a 15th Century Weapon of Mass Destruction, accidentally released from its internment, designed to wreak havoc on the world.",scifi
26950,Sergil chez les filles,Inspector Sergil goes head to head with a ruthless gang of drug dealers.,crime
32778,Pengin haiwei,"A fourth-grader, Aoyama-kun, investigates the mysterious reason behind the sudden appearance of penguins in his village, which is somehow related to a power from a young woman working at a dental clinic.",family
12245,Abominable,A supernatural thriller set in a remote town that is being terrorized by a Yeti.,adventure
30652,Jim Button and the Wild 13,"To protect Morrowland from another threat, Jim and Luke have to set off on a dangerous journey. On their adventure, Jim's most fervent wish might also come true: to find out the truth about his mysterious origins.",family
31448,The Kid,A distraught mother abandons her baby boy. An unsuspecting tramp finds the child and cares for him. A father's love drives him to protect the kid.,family
17643,Hector and the Search for Happiness,A psychiatrist searches the globe to find the secret of happiness.,adventure
33922,Max Pinlig 3 - på Roskilde,In the third installment of Max pinlig he's trying to get to a festival but he has to get the ticket somewhere??,family
50840,Spirit Halloween,"When a Halloween store opens in a deserted strip-mall, three friends, thinking they've outgrown trick or treating, decide to spend the night locked inside. But their night of spook-filled fun soon turns to outlandish survival.",horror
43124,My Father's Dragon,Elmer Elevator searches for a captive Dragon on Wild Island and finds much more than he could ever have anticipated.,fantasy
5246,Anak ng bulkan,"A monstrous giant bird soars high across Manila and suburbs. Anak ng Bulkan was set in a remote volcanic island, tells of the friendship between a little boy named Bentoy (Ace York) and a giant bird named Goliat.",action
20318,The Five Rules of Success,An enterprising ex-convict overcomes tragedy by designing a modern-day guide to success for a society that failed him.,crime
66806,The Fighting Shepherdess,A young woman fights to keep her Wyoming sheep ranch from being overrun and destroyed by cattle ranchers.,romance
14948,Survive,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.",adventure
2984,Rashtraputra,"Legendary film company, The Bombay Talkies Studios along with Kamini Dube, Bombay Talkies Foundation, Vishwa Sahitya Parishad, Aazaad Federation, World Literature Organization and filmmaker...                See full synopsis »",action
6169,Gun or Dance,"The film is an adventurous tale of discovery, merging the lives of 3 young adults on the path to truth and redemption.",action
13999,Ondanondu Kaladalli,A mercernary sets out to assist a tribal chieftain to defeat the chieftain's brother who is now an opponent and an enemy.,adventure
66788,Raped by an Angel 2: The Uniform Fan,A dentist obsessed with young women in various uniforms stalks two sisters. The oldest sister is romantically pursued by a thug that was just released from prison. The dentist also has the hots for her and the two paths eventually cross.,romance
35701,Untitled Ben 10 Project,"A feature film based on the TV show centered on Ben Tennyson, a boy who can transform into 10 different alien creatures with the help of a device called the Omnitrix.",family
75612,Beneath,A marine salvager looking for the wreckage of a missing airliner becomes stranded inside a damaged submersible at the bottom of the deep ocean. What she finds there is more shocking and terrifying than anything she ever imagined.,scifi
5121,Foxtrap,"Private detective is hired by rich man to find his niece, who has disappeared while traveling in Europe.",action
13471,The Rescue,A group of kids venture into enemy territory in an audacious attempt to rescue their Navy Seal fathers who were captured during a failed mission in North Korea.,adventure
21538,The Missing Million,"A millionaire disappears after a blackmail attempt by criminal, The Panda. His sister tries to help the police find him and deal with an aftermath of murder and mystery.",crime
14482,Shaitan Mujrim,"A doctor tries to revive a dead corpse with his experiments. Thanks to his evil assistant, he creates a blood sucking devil. Can the protagonist stop this devil?",adventure
34099,108 Costuras,Mauricio and Reynaldo's friendship will be challenged by their dream of playing professional baseball.,family
78539,Numb,"In a post-apocalyptic world where society is controlled by a debilitating narcotic, one woman sets out to find her father, and to heal the wounds of her past.",scifi
34476,Sinhaya,Weerasinghe is a tuition teacher and a guardian of 10 homeless children. They face a lot of financial problems until they find a magical watch which can make a person invisible. He uses this power to overcome their difficulties.,family
18033,Juggling Kittens,"Amid the backdrop of local and national tragedies, a directionless teacher and soon-to-be a father descends into the murky underbelly of an Arkansas town when a young student disappears.",crime
87882,[Cargo],A man wakes trapped inside a cargo container with only a cell phone and is given 24 hours by his kidnappers to raise ten million dollars in ransom or die.,thriller
33017,Telefoni i një mëngjesi,"A journalist, receives a threatening phone call one morning for not publishing an article. After that, the pressure of colleagues, family and ex-girlfriend influence the decision he will make, which he wants to see through to the end.",family
39084,The Breath of Life,"In the word of glorious kingdoms of magic, there's a dark secret of a cursed nation. A young enchantress is haunted by this secret. To get her answers, she dares to go on a reckless adventure with a stranger fascinated by the same mystery.",fantasy
9373,Slimed,An atheist park ranger and a bible salesman find themselves thrown into a slimy conspiracy that threatens to destroy not just the woods - but the entire world.,adventure
62933,Snow Falling on Cedars,"A Japanese-American fisherman is accused of killing his neighbor at sea. In the 1950s, race figures into the trial. So does reporter Ishmael.",mystery
27410,Pup School: Up in the Clouds,Pup School is back in session and this time the pup team take to the sky to learn all about the fluffy stuff that makes up clouds. Tag along for Pup School: Up In The Clouds.,family
40567,4-gatsu no baka,This is film about the group drama that turns around mainly on a raccoon for 3 people.,fantasy
33931,Naya Legend of the Golden Dolphin,This is an action film following the adventures of Naya The Golden Dolphin Princess and her mission to save the Earth.,family
82054,White of the Eye,Somebody's killing rich married women in their homes - latest in a rich desert community outside Tucson. A married sound expert is prime suspect.,thriller
52349,Chamber of Horrors,"A man, believing he has killed his mistress, finds himself spending the night in a terrifying wax museum.",horror
74844,Breeders,An alien travels to Earth on a meteorite and mates with humans to preserve its species and destroy humanity.,scifi
81040,Dead Girls,"A female band, who are exponents of ""death rock"", retreat to a cabin for the weekend. They soon find themselves being knocked off by a masked killer who uses weapons they have mentioned in their songs.",thriller
81907,And We Are Live,A group of friends decide to throw the biggest party of the year. The hosts kid sister is kidnapped. Mayhem ensues as the drunken rabble pursue her captors.,thriller
16762,Son vurgun,"Sedat is man of gunrunner Atif. Sedat and Ahmet are captured but they don't inform against Atif. When they get out of prison, they give chase to Atif.",adventure
59103,Viyasiduru,"Out of the blue, an incident took place that brought utter chaos to Hirantha. Yet, he did not hesitate to make every effort to extricate himself within the split second that he was granted.",mystery
80689,Ekho: Fall of an Empire,"""After an unexpected terrorist attack rocks the Nalon Republic, intergalactic war seems certain. Thirteen months later, in the midst of patriotism, political corruption and social unrest, two strangers paths collide.""",scifi
30792,Darbuján a Pandrhola,"Cuba Drobbyan (Jiri Sovak) is a poor cavalier who has a good wife (Bela Jurdova) and eleven children. When it comes to the twelfth, Cuba decides to go into the world and get a good ...                See full synopsis »",family
75977,In Picture,"A good cop bad cop project with action, drama and mystery. The lead haracter winds up having to make a choice between being a good cop or a bad cop.",scifi
18392,Crimelands,"Ethan Mullins is a violent man who rescues the daughter of a crime boss. Ethan and his companion travel through an unforgiving land to freedom. However, tracking them is the murderous Star.",crime
55559,The Sleep Experiment,Two detectives begin an investigation into a disastrous secret military experiment where five prisoners were kept awake for thirty days in a sealed gas chamber.,mystery
43677,Üç Süpermen Olimpiyatlarda,Three supermen go to Olympics and mayhem ensues.,fantasy
39554,Cats & Dogs: The Revenge of Kitty Galore,The on-going war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,fantasy
30622,Xuxa and the Mystery of the Little Ugly Princess,"Princess Ugliness mysteriously disappeared. Because her story is not well known to children, she risks being forgotten forever. But to prevent this from happening, all enchanted princesses come together to save the little princess.",family
66970,A Christmas Prince: The Royal Wedding,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",romance
68651,Dark Corners,"As Susan Hamilton sleeps, she dreams that she is another person in an alternative reality. As her greatest fears come to life, she is pursued by the notorious serial killer known as the Night Stalker.",romance
69833,Women Are Angels,"A greedy husband (Hayayee) is found to be cheating on his wife, who immensely adores him. With the help of her friends, she plots revenge on him.",romance
47710,Hacked Up for Barbecue,"A group of teenage Halloween thrill-seekers find themselves being hunted by a psychotic, cannibalistic, ex-mafia crime family who have taken over a stretch of back-country in the sticks of South Florida.",horror
